Age,Attrition,BusinessTravel,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,TenurePerJobLevel,PromotionLag
41,1,2,2,1,2,1,2,0,3,2,7,4,2,5993,1,11,3,1,0,8,0,1,6,4,0,5,2.0,0.0
49,0,1,1,8,1,1,3,1,2,2,6,2,1,5130,0,23,4,4,1,10,3,3,10,7,1,7,3.3333333333333335,0.09090909090909091
37,1,2,1,2,2,4,4,1,2,1,2,3,2,2090,1,15,3,2,0,7,3,3,0,0,0,0,0.0,0.0
33,0,1,1,3,4,1,4,0,3,1,6,3,1,2909,1,11,3,3,0,8,3,3,8,7,3,0,4.0,0.3333333333333333
27,0,2,1,2,1,3,1,1,3,1,2,2,1,3468,0,12,3,4,1,6,3,3,2,2,2,2,1.0,0.6666666666666666
32,0,1,1,2,2,1,4,1,3,1,2,4,2,3068,0,13,3,3,0,8,2,2,7,7,3,6,3.5,0.375
59,0,2,1,3,3,3,3,0,4,1,2,1,1,2670,1,20,4,1,3,12,3,2,1,0,0,0,0.5,0.0
30,0,2,1,24,1,1,4,1,3,1,2,3,0,2693,0,22,4,2,1,1,2,3,1,0,0,0,0.5,0.0
38,0,1,1,23,3,1,4,1,2,3,4,3,2,9526,0,21,4,2,0,10,2,3,9,7,1,8,2.25,0.1
36,0,2,1,27,3,3,3,1,3,2,0,3,1,5237,0,13,3,2,2,17,3,2,7,7,7,7,2.3333333333333335,0.875
35,0,2,1,16,3,3,1,1,4,1,2,2,1,2426,0,13,3,3,1,6,5,3,5,4,0,3,2.5,0.0
29,0,2,1,15,2,1,4,0,2,2,2,3,2,4193,1,12,3,4,0,10,3,3,9,5,0,8,3.0,0.0
31,0,2,1,26,1,1,1,1,3,1,6,3,0,2911,0,17,3,4,1,5,1,2,5,2,4,3,2.5,0.6666666666666666
34,0,2,1,19,2,3,2,1,3,1,2,4,0,2661,0,11,3,3,1,3,2,3,2,2,1,2,1.0,0.3333333333333333
28,1,2,1,24,3,1,3,1,2,1,2,3,2,2028,1,14,3,2,0,6,4,3,4,2,0,3,2.0,0.0
29,0,2,1,21,4,1,2,0,4,3,4,1,0,9980,0,11,3,3,1,10,1,3,10,9,8,8,2.5,0.7272727272727273
32,0,2,1,5,2,1,1,1,4,1,6,2,0,3298,1,12,3,4,2,7,5,2,6,2,0,5,3.0,0.0
22,0,0,1,16,2,3,4,1,4,1,2,4,0,2935,1,13,3,2,2,1,2,2,1,0,0,0,0.5,0.0
53,0,2,2,2,4,1,1,0,2,4,3,4,1,15427,0,16,3,3,0,31,3,3,25,8,3,7,5.0,0.11538461538461539
38,0,2,1,2,3,1,4,1,3,1,6,4,2,3944,1,11,3,3,0,6,3,3,3,2,1,2,1.5,0.25
24,0,0,1,11,2,4,1,0,4,2,4,3,0,4011,0,18,3,4,1,5,5,2,4,2,1,3,1.3333333333333333,0.2
36,1,2,2,9,4,1,3,1,2,1,8,1,2,3407,0,23,4,2,0,10,4,3,5,3,0,3,2.5,0.0
34,0,2,1,7,4,1,1,0,3,3,5,2,2,11994,0,11,3,3,0,13,4,3,12,6,2,11,3.0,0.15384615384615385
21,0,2,1,15,2,1,3,1,3,1,6,4,2,1232,0,14,3,4,0,0,6,3,0,0,0,0,0.0,0.0
34,1,2,1,6,1,3,2,1,3,1,6,1,2,2960,0,11,3,3,0,8,2,3,4,2,1,3,2.0,0.2
53,0,2,1,5,3,4,3,0,3,5,3,3,0,19094,0,11,3,4,1,26,3,2,14,13,4,8,2.3333333333333335,0.26666666666666666
32,1,1,1,16,1,1,2,0,1,1,6,1,2,3919,1,22,4,2,0,10,5,3,10,2,6,7,5.0,0.5454545454545454
42,0,2,2,8,4,2,3,1,3,2,7,2,1,6825,0,11,3,4,1,10,2,3,9,7,4,2,3.0,0.4
